#fortia(MW)=778.45----->98.8%
#paragwgh(MW)=787.9
#apwleies(MW)=9.45----->1.2%


#BUS   NAME    VNOM    PLOAD          QLOAD       BSHUNT       QSHUNT       ;
LINE   LN113   BUS62   BUS77     0.031552    0.12818      33.27750415  128.7           1               ;
LINE   LN114   BUS62   BUS80     0.001712    0.006955     3.611250451  128.7           1               ;
LINE   LN115   BUS62   BUS80     0.001712    0.006955     3.611250451  128.7           1               ;
LINE   LN116   BUS81   BUS65     0.1269337   0.391986     83.07470534  115.5           1               ;
LINE   LN117   BUS81   BUS65     0.1266481   0.391104     82.88778057  115.5           1               ;
LINE   LN118   BUS72   BUS65     2.1421752   7.2964988    31.01085428  83.715786       1               ;
LINE   LN119   BUS83   BUS59     0.3007496   1.242275     440.6869095  128.7           1               ;
LINE   LN120   BUS83   BUS73     0.0242808   0.186528     143.9729081  109.56          1               ;
LINE   LN121   BUS83   BUS73     0.0242808   0.186528     143.9729081  109.56          1               ;
LINE   LN122   BUS83   BUS74     0.0243412   0.186992     144.3310497  109.56          1               ;
LINE   LN123   BUS83   BUS74     0.0243412   0.186992     144.3310497  109.56          1               ;
LINE   LN124   BUS84   BUS62     0.00839636  0.04680344   26.04191814  128.7           1               ;
LINE   LN125   BUS84   BUS62     0.00839636  0.04680344   26.04191814  128.7           1               ;
LINE   LN126   BUS84   BUS62     0.00847329  0.04723227   26.2805221   128.7           1               ;
LINE   LN127   BUS84   BUS62     0.00847329  0.04723227   26.2805221   128.7           1               ;
LINE   LN128   BUS84   BUS62     0.01102     0.0874       25.6500032   101.036298      1               ;
LINE   LN129   BUS84   BUS62     0.01102     0.0874       25.6500032   101.036298      1               ;
LINE   LN130   BUS84   BUS62     0.00828646  0.04619083   25.70105534  128.7           1               ;
LINE   LN131   BUS84   BUS62     0.00828646  0.04619083   25.70105534  128.7           1               ;
LINE   LN132   BUS86   BUS64     0.2685967   0.8294581    175.7893877  86.602534       1               ;
LINE   LN133   BUS86   BUS64     0.2726769   0.842058     178.4597415  86.602534       1               ;
LINE   LN134   BUS87   BUS72     0.00314704  0.016376     5.14467213   114.576         1               ;
LINE   LN135   BUS87   BUS72     0.0040222   0.02093      6.575353424  114.576         1               ;
LINE   LN136   BUS87   BUS72     0.0036465   0.018975     5.96117206   114.576         1               ;
LINE   LN137   BUS84   BUS92     0.0234      0.06813      6.691498104  88.044          1               ;
LINE   LN138   BUS84   BUS93     0.0234      0.06813      6.691498104  88.044          1               ;
LINE   LN139   BUS84   BUS94     0.0234      0.06813      6.691498104  88.044          1               ;
LINE   LN140   BUS84   BUS98     0.0234      0.06813      6.691498104  88.044          1               ;
LINE   LN141   BUS84   BUS99     0.0234      0.06813      6.691498104  88.044          1               ;
LINE   LN142   BUS84   BUS100    0.0234      0.06813      6.691498104  88.044          1               ;
LINE   LN143   BUS104  BUS80     0.15375527  1.4647425    0.           86.602534       1               ;
LINE   LN144   BUS104  BUS85     0.009984    0.0290688    2.855039191  88.044          1               ;
LINE   LN145   BUS105  BUS40     2.56524271  11.230937    25.29947588  83.715786       1               ;
LINE   LN146   BUS105  BUS85     0.00897     0.0261165    2.565074273  88.044          1               ;
LINE   LN147   BUS112  BUS72     0.007712    0.03133      8.133751016  103.923046      1               ;
LINE   LN148   BUS113  BUS114    0.001739    0.003367     6.39314105   6.65            1               ;
LINE   LN149   BUS113  BUS114    0.001739    0.003367     6.39314105   6.65            1               ;
LINE   LN150   BUS113  BUS115    0.00141     0.00273      5.183627878  6.65            1               ;
LINE   LN151   BUS113  BUS115    0.00141     0.00273      5.183627878  6.65            1               ;
LINE   LN152   BUS113  BUS116    0.001081    0.002093     3.974114707  6.65            1               ;
LINE   LN153   BUS113  BUS116    0.001081    0.002093     3.974114707  6.65            1               ;
LINE   LN154   BUS117  BUS72     0.016068    0.0467826    4.594828698  88.044          1               ;
LINE   LN155   BUS118  BUS119    0.0007755   0.0015015    2.850995333  6.65            1               ;
LINE   LN156   BUS118  BUS119    0.0007755   0.0015015    2.850995333  6.65            1               ;
